
# m=4, global_batch=128
epoch,train_loss,train_acc,throughput,epoch_time
1,4.9506,0.1541,3390.23,14.72
2,2.0753,0.2091,3504.56,14.24
3,1.9585,0.2441,3570.36,13.98
4,1.8941,0.2732,3559.56,14.02
5,1.7810,0.3294,3703.91,13.48
6,1.6922,0.3730,3584.50,13.93
7,1.6291,0.4013,3704.66,13.47
8,1.5661,0.4275,3776.35,13.22
9,1.5169,0.4513,3598.88,13.87
10,1.4529,0.4760,3763.43,13.26
11,1.4079,0.4912,3662.86,13.63
12,1.3497,0.5152,3705.54,13.47
13,1.2998,0.5345,3775.37,13.22
14,1.2464,0.5571,3625.84,13.77
15,1.1827,0.5826,3777.38,13.22

# m=4, global_batch=256
epoch,train_loss,train_acc,throughput,epoch_time
1,5.7537,0.1171,5417.53,9.21
2,2.3166,0.1724,5712.57,8.74
3,1.9904,0.2545,5740.24,8.70
4,1.8968,0.2867,5733.82,8.71
5,1.7863,0.3345,5742.34,8.69
6,1.6781,0.3823,5726.64,8.72
7,1.6112,0.4127,5746.22,8.69
8,1.5363,0.4394,5733.35,8.71
9,1.4698,0.4645,5728.92,8.71
10,1.4266,0.4818,5734.22,8.71
11,1.3593,0.5074,5716.83,8.73
12,1.3080,0.5300,5733.38,8.71
13,1.2608,0.5472,5737.46,8.70
14,1.2266,0.5607,5721.43,8.73
15,1.2091,0.5669,5725.64,8.72

# m=4, global_batch=512
epoch,train_loss,train_acc,throughput,epoch_time
1,7.7655,0.1195,6861.20,7.24
2,2.9222,0.1692,7353.08,6.75
3,2.3602,0.2201,7381.11,6.73
4,2.0846,0.2751,7369.95,6.74
5,1.8970,0.3257,7401.44,6.71
6,1.8201,0.3500,7374.42,6.73
7,1.7260,0.3716,7394.11,6.72
8,1.6760,0.3843,7358.29,6.75
9,1.6275,0.4031,7401.82,6.71
10,1.5983,0.4180,7359.87,6.75
11,1.5596,0.4291,7342.09,6.76
12,1.5302,0.4458,7390.18,6.72
13,1.4919,0.4574,7361.62,6.75
14,1.4557,0.4678,7393.25,6.72
15,1.4207,0.4851,7377.40,6.73

# m=4, global_batch=1024
epoch,train_loss,train_acc,throughput,epoch_time
1,10.5838,0.1016,7693.94,6.39
2,3.1371,0.1036,8277.41,5.94
3,2.6485,0.1069,8288.51,5.93
4,2.5283,0.1290,8292.97,5.93
5,2.3395,0.1603,8312.19,5.91
6,2.2878,0.2005,8307.78,5.92
7,2.1575,0.2266,8279.31,5.94
8,2.0762,0.2547,8306.57,5.92
9,2.0104,0.2865,8306.36,5.92
10,1.9123,0.2978,8330.72,5.90
11,1.8294,0.3228,8317.30,5.91
12,1.7596,0.3469,8308.12,5.92
13,1.7735,0.3602,8316.29,5.91
14,1.7126,0.3773,8299.39,5.92
15,1.6500,0.3979,8282.83,5.93

# m=4, global_batch=2048
epoch,train_loss,train_acc,throughput,epoch_time
1,8.9585,0.1034,9695.73,5.07
2,3.3084,0.1074,12295.57,4.00
3,2.7258,0.1093,12247.50,4.01
4,2.6062,0.1406,12410.12,3.96
5,2.7162,0.1468,12289.25,4.00
6,2.5574,0.1641,12408.08,3.96
7,2.5476,0.1779,12451.00,3.95
8,2.4592,0.1920,12204.12,4.03
9,2.3730,0.2156,12447.22,3.95
