
# m=4, global_batch=128
epoch,train_loss,train_acc,throughput,epoch_time
1,2.6378,0.1902,4685.49,10.65
2,1.8061,0.3176,4888.91,10.21
3,1.6097,0.4011,5116.50,9.76
4,1.4706,0.4621,5137.34,9.72
5,1.3438,0.5157,4908.97,10.17
6,1.2193,0.5682,5114.08,9.76
7,1.1332,0.5995,5121.27,9.75
8,1.0736,0.6267,5108.13,9.77
9,1.0057,0.6547,5153.50,9.69
10,0.9678,0.6658,4848.61,10.30
11,0.9360,0.6771,5018.50,9.95
12,0.9049,0.6891,4771.92,10.46
13,0.8879,0.6937,4453.76,11.21
14,0.8595,0.7070,5099.36,9.79
15,0.8484,0.7110,5072.42,9.84

# m=4, global_batch=256
epoch,train_loss,train_acc,throughput,epoch_time
1,2.7196,0.2000,8375.72,5.96
2,1.7852,0.3350,9470.50,5.27
3,1.5781,0.4192,10107.91,4.94
4,1.4382,0.4760,9693.55,5.15
5,1.3094,0.5271,9683.78,5.16
6,1.2024,0.5688,9713.36,5.14
7,1.1345,0.5979,9466.80,5.27
8,1.0629,0.6252,9801.18,5.09
9,1.0035,0.6483,9997.90,4.99
10,0.9455,0.6664,9637.67,5.18
11,0.8980,0.6874,9259.50,5.39
12,0.8588,0.6987,9379.75,5.32
13,0.8247,0.7125,9743.50,5.12
14,0.8053,0.7220,10119.49,4.93
15,0.7768,0.7313,9993.45,5.00

# m=4, global_batch=512
epoch,train_loss,train_acc,throughput,epoch_time
1,2.9974,0.1664,13971.11,3.55
2,2.0913,0.2748,16092.55,3.09
3,1.7950,0.3578,16385.20,3.03
4,1.6492,0.3995,16427.10,3.02
5,1.5327,0.4416,15734.51,3.16
6,1.4060,0.4880,16491.40,3.01
7,1.2983,0.5351,16440.19,3.02
8,1.1996,0.5666,16225.84,3.06
9,1.1171,0.6031,16200.88,3.07
10,1.0658,0.6201,16466.37,3.02
11,0.9890,0.6480,16484.82,3.01
12,0.9416,0.6669,16239.93,3.06
13,0.9074,0.6780,16450.54,3.02
14,0.8705,0.6914,16094.49,3.09
15,0.8379,0.7053,16035.38,3.10

# m=4, global_batch=1024
epoch,train_loss,train_acc,throughput,epoch_time
1,4.2774,0.1146,19308.68,2.55
2,2.3930,0.1534,22491.87,2.19
3,2.1879,0.2059,22515.50,2.18
4,2.0621,0.2390,22435.32,2.19
5,1.9740,0.2602,22421.96,2.19
6,1.8815,0.2927,22492.36,2.19
7,1.8057,0.3242,22546.53,2.18
8,1.7256,0.3468,22439.99,2.19
9,1.6688,0.3737,22464.33,2.19
10,1.6103,0.3955,22599.02,2.17
11,1.5763,0.4151,22388.31,2.20
12,1.5280,0.4289,22538.26,2.18
13,1.4863,0.4462,21982.70,2.24
14,1.4415,0.4645,19094.95,2.57
15,1.3963,0.4813,21222.81,2.32

# m=4, global_batch=2048
epoch,train_loss,train_acc,throughput,epoch_time
1,4.2213,0.1076,20261.71,2.43
2,2.4368,0.1400,24054.25,2.04
3,2.2789,0.1586,24148.03,2.04
4,2.1112,0.1955,23259.59,2.11
5,2.0103,0.2241,23257.22,2.11
6,1.9274,0.2592,19366.08,2.54
7,1.8735,0.2807,17654.69,2.78
8,1.8163,0.3094,24452.08,2.01
9,1.7544,0.3349,24333.27,2.02
10,1.7000,0.3519,24222.92,2.03
11,1.6549,0.3764,24332.33,2.02
12,1.5910,0.4033,24398.52,2.01
13,1.5395,0.4274,24215.44,2.03
14,1.4910,0.4474,24379.81,2.02
15,1.4201,0.4751,24350.96,2.02


# m=8, global_batch=128
epoch,train_loss,train_acc,throughput,epoch_time
1,2.8137,0.1657,2642.39,18.89
2,1.9512,0.2620,2756.23,18.11
3,1.8156,0.3206,2783.87,17.93
4,1.6764,0.3795,2681.71,18.61
5,1.5593,0.4344,2726.04,18.31
6,1.4346,0.4851,2744.56,18.19
7,1.3260,0.5287,2746.19,18.18
8,1.2118,0.5729,2746.91,18.17
9,1.1344,0.6043,2776.44,17.98
10,1.0779,0.6247,2760.04,18.09
11,1.0343,0.6411,2781.75,17.95
12,0.9947,0.6566,2769.08,18.03
13,0.9764,0.6638,2784.38,17.93
14,0.9511,0.6742,2774.73,17.99
15,0.9215,0.6851,2727.52,18.30

# m=8, global_batch=256
epoch,train_loss,train_acc,throughput,epoch_time
1,2.9756,0.1641,5128.37,9.73
2,1.9338,0.2703,5369.54,9.30
3,1.7244,0.3544,5372.77,9.29
4,1.5924,0.4104,5356.82,9.32
5,1.4941,0.4537,5358.76,9.32
6,1.3895,0.4966,5377.10,9.28
7,1.2807,0.5406,5382.32,9.27
8,1.1821,0.5808,5266.17,9.48
9,1.1043,0.6110,5297.44,9.42
10,1.0431,0.6326,5141.04,9.71
11,0.9941,0.6525,5377.13,9.28
12,0.9482,0.6716,5284.35,9.45
13,0.9062,0.6862,5289.04,9.44
14,0.8753,0.6990,5252.16,9.50
15,0.8454,0.7069,5265.98,9.48

# m=8, global_batch=512
epoch,train_loss,train_acc,throughput,epoch_time
1,3.0015,0.1918,9364.13,5.30
2,1.9244,0.2993,9774.50,5.08
3,1.7184,0.3729,10029.23,4.95
4,1.5676,0.4219,9973.53,4.98
5,1.4715,0.4617,10095.09,4.92
6,1.4002,0.4910,9656.64,5.14
7,1.3195,0.5260,10102.33,4.92
8,1.2269,0.5624,9979.73,4.98
9,1.1502,0.5897,9942.52,5.00
10,1.0806,0.6174,9983.57,4.97
11,1.0297,0.6355,10092.69,4.92
12,0.9740,0.6576,10104.44,4.92
13,0.9282,0.6732,10126.95,4.90
14,0.8796,0.6899,9640.62,5.15
15,0.8444,0.7044,9987.33,4.97

# m=8, global_batch=1024
epoch,train_loss,train_acc,throughput,epoch_time
1,3.6306,0.1310,11476.68,4.28
2,2.2721,0.2079,16092.95,3.05
3,2.1086,0.2527,16142.35,3.04
4,1.9532,0.2957,15954.88,3.08
5,1.7867,0.3421,16096.44,3.05
6,1.6946,0.3797,15867.88,3.10
7,1.6275,0.4080,16120.05,3.05
8,1.5435,0.4338,16080.95,3.06
9,1.4760,0.4608,15849.59,3.10
10,1.4188,0.4841,16110.09,3.05
11,1.3969,0.4974,16121.97,3.05
12,1.3181,0.5230,15874.80,3.10
13,1.2474,0.5511,16062.22,3.06
14,1.2082,0.5651,16023.42,3.07
15,1.1420,0.5878,16014.85,3.07

# m=8, global_batch=2048
epoch,train_loss,train_acc,throughput,epoch_time
1,4.2180,0.1091,16191.09,3.04
2,2.6454,0.1329,21432.27,2.29
3,2.2884,0.1836,21416.75,2.30
4,2.0623,0.2282,21229.71,2.32
5,1.9333,0.2691,21460.06,2.29
6,1.8644,0.2987,21512.00,2.28
7,1.7785,0.3339,21573.05,2.28
8,1.7320,0.3578,21457.13,2.29
9,1.6724,0.3775,21334.47,2.30
10,1.5994,0.4047,21442.92,2.29
11,1.5614,0.4252,21398.67,2.30
12,1.5187,0.4460,21285.42,2.31
13,1.4767,0.4693,21298.10,2.31
14,1.4297,0.4853,21462.06,2.29
15,1.3698,0.5024,21452.99,2.29
