
# m=4, global_batch=128
epoch,train_loss,train_acc,throughput,epoch_time
1,2.1094,0.3075,7617.66,6.55
2,1.5503,0.4379,7817.60,6.39
3,1.3734,0.5061,8200.71,6.09
4,1.2361,0.5600,7688.92,6.49
5,1.1371,0.5992,7956.12,6.27
6,1.0615,0.6268,7839.59,6.37
7,0.9973,0.6534,7790.31,6.41
8,0.9667,0.6647,7954.08,6.28
9,0.9238,0.6787,7854.44,6.36
10,0.8971,0.6910,7897.04,6.32
11,0.8796,0.6975,7829.36,6.38
12,0.8525,0.7074,8424.24,5.93
13,0.8395,0.7129,7888.58,6.33
14,0.8304,0.7153,8332.46,5.99
15,0.8176,0.7210,8044.52,6.21

# m=4, global_batch=256
epoch,train_loss,train_acc,throughput,epoch_time
1,2.2202,0.2938,13358.66,3.74
2,1.6133,0.4174,15181.76,3.29
3,1.3818,0.5005,14328.41,3.48
4,1.2369,0.5582,15129.48,3.30
5,1.1035,0.6059,15090.58,3.31
6,1.0201,0.6389,14923.16,3.35
7,0.9532,0.6631,15187.42,3.29
8,0.9002,0.6846,14959.13,3.34
9,0.8578,0.7006,15013.80,3.32
10,0.8267,0.7120,15715.29,3.18
11,0.7947,0.7221,15552.28,3.21
12,0.7700,0.7317,15470.63,3.23
13,0.7549,0.7373,13970.46,3.57
14,0.7367,0.7417,13048.02,3.83
15,0.7132,0.7508,15232.99,3.28

# m=4, global_batch=512
epoch,train_loss,train_acc,throughput,epoch_time
1,2.5461,0.2528,22773.41,2.18
2,1.7700,0.3825,26167.19,1.90
3,1.5956,0.4438,26116.81,1.90
4,1.3905,0.5019,25113.89,1.98
5,1.2302,0.5572,26593.48,1.87
6,1.1051,0.6022,26455.76,1.88
7,1.0262,0.6378,26918.52,1.84
8,0.9570,0.6630,27296.87,1.82
9,0.8970,0.6815,26799.94,1.85
10,0.8518,0.6984,26846.25,1.85
11,0.8206,0.7120,26400.39,1.88
12,0.7798,0.7288,26387.80,1.88
13,0.7511,0.7373,26641.66,1.86
14,0.7170,0.7491,26778.27,1.85
15,0.7022,0.7551,26663.64,1.86

# m=4, global_batch=1024
epoch,train_loss,train_acc,throughput,epoch_time
1,2.5010,0.2413,21193.67,2.32
2,1.7173,0.3874,32900.05,1.49
3,1.5093,0.4603,35233.13,1.40
4,1.3501,0.5183,35512.28,1.38
5,1.2277,0.5637,35042.79,1.40
6,1.1164,0.6015,34897.17,1.41
7,1.0390,0.6325,35323.74,1.39
8,0.9911,0.6500,35442.71,1.39
9,0.9100,0.6781,35320.22,1.39
10,0.8734,0.6891,35278.09,1.39
11,0.8230,0.7086,35532.40,1.38
12,0.7995,0.7182,35143.95,1.40
13,0.7637,0.7308,34677.53,1.42
14,0.7450,0.7378,35552.00,1.38
15,0.7191,0.7477,34342.72,1.43

# m=4, global_batch=2048
epoch,train_loss,train_acc,throughput,epoch_time
1,3.1986,0.1748,28285.53,1.74
2,2.1689,0.2782,34231.94,1.44
3,1.7247,0.3727,34660.03,1.42
4,1.6151,0.4214,35115.61,1.40
5,1.5397,0.4515,34393.71,1.43
6,1.4433,0.4800,33887.25,1.45
7,1.3451,0.5156,33239.49,1.48
8,1.3139,0.5295,33390.90,1.47
9,1.2471,0.5593,34428.39,1.43
10,1.1834,0.5805,34652.93,1.42
11,1.1077,0.6072,33687.93,1.46
12,1.0465,0.6247,33094.99,1.49
13,0.9897,0.6481,34800.16,1.41
14,0.9553,0.6607,34644.70,1.42
15,0.9402,0.6688,32516.13,1.51

# m=8, global_batch=128
epoch,train_loss,train_acc,throughput,epoch_time
1,2.2552,0.2554,4096.95,12.18
2,1.6893,0.3761,4362.78,11.44
3,1.5199,0.4463,4357.22,11.46
4,1.3542,0.5144,4493.46,11.11
5,1.2345,0.5633,4435.91,11.25
6,1.1457,0.5984,4502.19,11.09
7,1.0798,0.6231,4570.16,10.92
8,1.0337,0.6406,4527.32,11.03
9,0.9850,0.6585,4660.15,10.71
10,0.9582,0.6703,4485.86,11.13
11,0.9299,0.6791,4551.06,10.97
12,0.9027,0.6870,4400.23,11.34
13,0.8849,0.6966,4435.22,11.26
14,0.8751,0.7007,4497.48,11.10
15,0.8610,0.7049,4638.05,10.76

# m=8, global_batch=256
epoch,train_loss,train_acc,throughput,epoch_time
1,2.4285,0.2759,8170.35,6.11
2,1.6056,0.4181,8669.30,5.76
3,1.4228,0.4876,8702.68,5.74
4,1.2680,0.5465,8704.85,5.73
5,1.1452,0.5950,8677.46,5.75
6,1.0649,0.6263,8687.87,5.75
7,0.9897,0.6507,8522.96,5.86
8,0.9393,0.6726,8647.67,5.77
9,0.9016,0.6862,8701.18,5.74
10,0.8580,0.7013,8750.41,5.70
11,0.8247,0.7158,8730.22,5.72
12,0.7970,0.7241,8475.41,5.89
13,0.7811,0.7296,8589.40,5.81
14,0.7630,0.7358,8531.00,5.85
15,0.7446,0.7433,8592.16,5.81

# m=8, global_batch=512
epoch,train_loss,train_acc,throughput,epoch_time
1,2.3196,0.2973,14309.44,3.47
2,1.7033,0.4081,16984.14,2.92
3,1.4734,0.4793,16608.29,2.99
4,1.2914,0.5393,16271.31,3.05
5,1.2097,0.5771,16374.96,3.03
6,1.0808,0.6162,16674.68,2.98
7,0.9910,0.6506,14805.64,3.35
8,0.9491,0.6653,16114.96,3.08
9,0.8888,0.6891,16312.91,3.04
10,0.8536,0.7030,15978.73,3.11
11,0.8136,0.7151,16335.33,3.04
12,0.7808,0.7284,16169.83,3.07
13,0.7552,0.7372,15953.73,3.11
14,0.7323,0.7449,15986.21,3.11
15,0.7099,0.7517,16222.58,3.06

# m=8, global_batch=1024
epoch,train_loss,train_acc,throughput,epoch_time
1,2.4725,0.2463,22645.12,2.17
2,1.6916,0.3978,26622.36,1.85
3,1.5213,0.4594,26630.23,1.85
4,1.3774,0.5080,26380.02,1.86
5,1.2900,0.5420,26588.62,1.85
6,1.1836,0.5767,26451.76,1.86
7,1.0913,0.6089,26537.66,1.85
8,1.0224,0.6357,26261.26,1.87
9,0.9542,0.6625,26407.98,1.86
10,0.9033,0.6812,26464.82,1.86
11,0.8495,0.7006,26578.69,1.85
12,0.8096,0.7142,25894.86,1.90
13,0.7803,0.7256,26446.68,1.86
14,0.7562,0.7339,26580.34,1.85
15,0.7376,0.7422,26609.23,1.85

# m=8, global_batch=2048
epoch,train_loss,train_acc,throughput,epoch_time
1,2.6623,0.2249,25774.42,1.91
2,1.7099,0.3779,32986.20,1.49
3,1.5673,0.4417,33420.85,1.47
4,1.4179,0.4878,33315.56,1.48
5,1.3279,0.5224,33401.72,1.47
6,1.2425,0.5553,32071.94,1.53
7,1.1691,0.5824,32935.28,1.49
8,1.0899,0.6092,32643.74,1.51
9,1.0336,0.6302,32635.69,1.51
10,0.9726,0.6546,33160.31,1.48
11,0.9226,0.6734,33399.83,1.47
12,0.8794,0.6888,33047.54,1.49
13,0.8511,0.6976,33164.74,1.48
14,0.8271,0.7075,33305.50,1.48
15,0.7901,0.7187,33187.96,1.48
