
# m=4, global_batch=128
epoch,train_loss,train_acc,throughput,epoch_time
1,2.5198,0.2029,4395.27,11.36
2,1.7414,0.3423,4641.19,10.76
3,1.5707,0.4177,4565.44,10.93
4,1.4872,0.4571,4733.60,10.55
5,1.4082,0.4884,5032.88,9.92
6,1.2801,0.5451,4953.53,10.08
7,1.1767,0.5853,4652.57,10.73
8,1.0929,0.6175,4733.34,10.55
9,1.0339,0.6434,4865.22,10.26
10,0.9896,0.6575,4787.58,10.43
11,0.9652,0.6675,4841.86,10.31
12,0.9292,0.6816,4636.76,10.77
13,0.9125,0.6848,4864.80,10.26
14,0.8924,0.6909,4847.38,10.30
15,0.8828,0.6972,4541.36,10.99

# m=4, global_batch=256
epoch,train_loss,train_acc,throughput,epoch_time
1,2.9006,0.1572,8291.69,6.02
2,1.9070,0.2761,8962.70,5.57
3,1.6847,0.3690,8811.75,5.67
4,1.5216,0.4363,9166.66,5.45
5,1.3964,0.4851,9058.46,5.51
6,1.2752,0.5365,9054.03,5.51
7,1.1714,0.5811,9171.11,5.44
8,1.0880,0.6144,9386.41,5.32
9,1.1502,0.5942,9301.82,5.37
10,1.0061,0.6462,9273.39,5.38
11,0.9579,0.6630,9331.24,5.35
12,0.8982,0.6857,8492.65,5.88
13,0.8639,0.7006,9074.93,5.50
14,0.8226,0.7157,8746.19,5.71
15,0.8051,0.7206,9228.45,5.41

# m=4, global_batch=512
epoch,train_loss,train_acc,throughput,epoch_time
1,2.9424,0.1385,13263.05,3.74
2,1.9609,0.2705,14917.09,3.33
3,1.7449,0.3529,14783.20,3.36
4,1.6286,0.3965,14915.86,3.33
5,1.5170,0.4427,14890.26,3.34
6,1.4168,0.4809,14933.73,3.33
7,1.3290,0.5185,14946.14,3.32
8,1.2460,0.5467,14472.80,3.43
9,1.1615,0.5804,14823.60,3.35
10,1.0951,0.6061,14932.39,3.33
11,1.0272,0.6348,14880.14,3.34
12,0.9742,0.6545,14934.52,3.33
13,0.9279,0.6709,14861.63,3.34
14,0.8837,0.6869,14858.18,3.34
15,0.8502,0.6990,14958.49,3.32

# m=4, global_batch=1024
epoch,train_loss,train_acc,throughput,epoch_time
1,3.1198,0.1490,17196.80,2.86
2,2.0501,0.2559,20122.76,2.44
3,1.8098,0.3334,19975.31,2.46
4,1.6959,0.3788,20428.26,2.41
5,1.6245,0.4123,20249.76,2.43
6,1.5159,0.4524,20268.02,2.43
7,1.4534,0.4793,21003.91,2.34
8,1.3480,0.5140,20375.87,2.41
9,1.2656,0.5463,20401.61,2.41
10,1.2020,0.5688,20277.36,2.42
11,1.1285,0.5978,20312.31,2.42
12,1.0797,0.6184,20436.34,2.41
13,1.0218,0.6372,20330.89,2.42
14,0.9749,0.6544,20441.97,2.40
15,0.9554,0.6625,20363.21,2.41

# m=4, global_batch=2048
epoch,train_loss,train_acc,throughput,epoch_time
1,3.3512,0.1340,18438.56,2.67
2,2.1915,0.2227,22348.50,2.20
3,1.9500,0.2948,22168.82,2.22
4,1.8200,0.3389,22278.97,2.21
5,1.7465,0.3748,22346.31,2.20
6,1.6746,0.4011,22308.29,2.20
7,1.5937,0.4273,22280.66,2.21
8,1.4900,0.4574,22256.09,2.21
9,1.4880,0.4699,22397.15,2.19
10,1.5206,0.4707,22243.69,2.21
11,1.4961,0.4621,22937.88,2.14
12,1.3787,0.5097,22885.99,2.15
13,1.3540,0.5234,22963.88,2.14
14,1.2601,0.5517,22576.63,2.18
15,1.1925,0.5745,21210.34,2.32


# m=8, global_batch=128
epoch,train_loss,train_acc,throughput,epoch_time
1,2.5690,0.1904,2490.05,20.05
2,1.8701,0.2921,2665.30,18.73
3,1.7128,0.3600,2700.61,18.48
4,1.6553,0.3916,2558.82,19.51
